Country,CountryAlpha3Code,Date,confirmed,deaths,recoveries,confirmed_inc,deaths_inc,recoveries_inc,ECR,GRTStringencyIndex,DaysSince1Cases,DaysSince100Cases,confirmed_PopPct,deaths_PopPct,recoveries_PopPct
Turkey,TUR,2020-05-11,139771,3841,95780.0,1114.0,55.0,3089.0,0.012191370169777782,75.93,61,53,0.1675316372968999,0.0046038807682379935,0.11480335849566128
Turkey,TUR,2020-05-12,141475,3894,98889.0,1704.0,53.0,3109.0,0.011585085704187925,75.93,62,54,0.16957407750233536,0.004667407370871842,0.11852985297846574
Turkey,TUR,2020-05-13,143114,3952,101715.0,1639.0,58.0,2826.0,0.01142445882303611,75.93,63,55,0.17153860772340854,0.004736927049225866,0.12191713937550833
Turkey,TUR,2020-05-14,144749,4007,104030.0,1635.0,55.0,2315.0,0.011799736094895374,75.93,64,56,0.17349834348390555,0.0048028508821477845,0.12469193343394909
Turkey,TUR,2020-05-15,146457,4055,106133.0,1708.0,48.0,2103.0,0.010992987702875157,75.93,65,57,0.17554557814991714,0.004860384409061459,0.12721262108185444
Turkey,TUR,2020-05-16,148067,4096,108137.0,1610.0,41.0,2004.0,0.00923906069549596,75.93,66,58,0.17747534853181332,0.004909527629966889,0.12961464583050036
Turkey,TUR,2020-05-17,149435,4140,109962.0,1368.0,44.0,1825.0,0.007749188610432611,75.93,67,59,0.17911505404885303,0.004962266696304424,0.131802118468364
Turkey,TUR,2020-05-18,150593,4171,111577.0,1158.0,31.0,1615.0,0.0067865040207713,75.93,68,60,0.18050305038564543,0.004999423765769505,0.13373788192598035
Turkey,TUR,2020-05-19,151615,4199,112895.0,1022.0,28.0,1318.0,0.006410975167364663,75.93,69,61,0.1817280350628491,0.005032984989802482,0.13531765668581833
Turkey,TUR,2020-05-20,152587,4222,113987.0,972.0,23.0,1092.0,0.00629804636043696,75.93,70,62,0.182893088982851,0.005060553138115285,0.13662654442310443
Turkey,TUR,2020-05-21,153548,4249,114990.0,961.0,27.0,1003.0,0.006200015630291489,75.93,71,63,0.1840449581362685,0.005092915747004227,0.13782875541257142
Turkey,TUR,2020-05-22,154500,4276,116111.0,952.0,27.0,1121.0,0.007676375404530811,75.93,72,64,0.18518603975338974,0.005125278355893168,0.13917240298903452
Turkey,TUR,2020-05-23,155686,4308,117602.0,1186.0,32.0,1491.0,0.007328854232236726,75.93,73,65,0.1866075973142151,0.005163634040502284,0.14095953816879053
Turkey,TUR,2020-05-24,156827,4340,118694.0,1141.0,32.0,1092.0,0.0062935591447901285,75.93,74,66,0.18797521719355892,0.0052019897251114,0.14226842590607663
Turkey,TUR,2020-05-25,157814,4369,120015.0,987.0,29.0,1321.0,0.006007071615953041,75.93,75,67,0.18915825034072134,0.005236749564288413,0.14385179651134672
Turkey,TUR,2020-05-26,158762,4397,121507.0,948.0,28.0,1492.0,0.006519192250034722,75.93,76,68,0.1902945374972664,0.005270310788321389,0.14564013030624676
Turkey,TUR,2020-05-27,159797,4431,122793.0,1035.0,34.0,1286.0,0.007396884797586933,75.93,77,69,0.1915351041713425,0.005311063703218575,0.14718154938147562
Turkey,TUR,2020-05-28,160979,4461,124369.0,1182.0,30.0,1576.0,0.007087881027960208,75.93,78,70,0.19295186727159175,0.005347022157539622,0.1490705668484746
Turkey,TUR,2020-05-29,162120,4489,125963.0,1141.0,28.0,1594.0,0.006063409819886401,75.93,79,71,0.19431948715093555,0.005380583381572599,0.15098115938806622
Turkey,TUR,2020-05-30,163103,4515,126984.0,983.0,26.0,1021.0,0.005143988767833729,75.93,80,72,0.19549772583752184,0.005411747375317506,0.15220494545012583
Turkey,TUR,2020-05-31,163942,4540,127973.0,839.0,25.0,989.0,0.005044466945627102,75.93,81,73,0.19650336394336712,0.005441712753918378,0.15339037582757634
Turkey,TUR,2020-06-01,164769,4563,128947.0,827.0,23.0,974.0,0.004770314804362519,63.89,82,74,0.19749461866748397,0.00546928090223118,0.15455782697786632
Turkey,TUR,2020-06-02,165555,4585,129921.0,786.0,22.0,974.0,0.0052369303252695065,63.89,83,75,0.19843673017069538,0.005495650435399947,0.15572527812815629
